,EmpNumber,Age,Gender,Edu_Background,MaritalStatus,Emp_Dept,Emp_JobRole,Busi_Trav_Freq,Dist_From_Home,Emp_Edu_Level,Emp_Envi_Satisfaction,Emp_Hour_Rate,Emp_Job_Involvement,EmpJobLevel,EmpJobSatisfaction,Num_Comp_worked,OverTime,Last_Sal_Hike_Perc,Emp_Rel_Satisfaction,Tot_WorkExp,TrainingTimes_LastYear,EmpWork_LifeBal,Exp_At_ThisComp,Curr_Role_Exp,Since_LastPromo,Curr_Manager_Years,Attrition,Performance_Rating
442,E1001794,32,1,4,2,3,11,2,10,3,3,64,3,3,4,2,0,25,2,10,5,4,5,2,0,0,No,2
443,E1001798,54,0,4,0,3,16,1,11,4,2,87,3,4,4,3,0,20,1,26,2,3,14,9,1,12,No,1
444,E1001800,29,1,2,2,3,15,2,1,4,1,100,2,1,1,6,0,13,3,11,2,1,9,7,0,7,Yes,2
445,E1001805,46,0,5,1,4,11,2,3,3,3,51,3,4,2,8,0,12,4,23,2,4,13,12,5,1,No,2
446,E1001807,35,0,5,2,3,16,2,16,3,4,91,2,3,2,1,0,19,4,11,3,1,11,8,3,3,No,2
447,E1001811,23,1,5,2,3,13,2,20,1,1,97,3,2,3,0,0,14,2,5,2,3,4,3,1,2,No,1
448,E1001812,40,1,5,2,3,13,2,9,4,4,86,3,1,1,3,0,14,2,15,3,1,5,4,1,0,Yes,2
449,E1001813,34,1,2,1,4,18,2,1,3,4,64,2,3,3,1,1,14,4,10,3,3,10,9,8,6,No,2
450,E1001817,50,1,4,2,3,4,1,22,5,3,88,1,4,4,1,1,13,4,32,2,3,32,6,13,9,No,2
451,E1001820,42,1,4,1,3,16,2,2,3,3,68,2,1,2,4,0,14,2,4,3,3,1,0,0,0,No,2
452,E1001821,37,1,4,1,3,15,2,13,3,1,47,3,2,4,1,0,17,1,10,2,3,10,8,3,7,No,1
453,E1001822,29,0,1,1,3,6,2,8,1,3,39,1,2,1,3,0,13,3,9,3,3,7,7,0,7,No,2
454,E1001823,33,1,5,2,3,7,2,25,3,4,44,2,2,2,1,0,13,4,5,2,3,5,3,0,2,No,2
455,E1001824,45,1,2,1,3,15,2,28,3,4,97,3,1,4,4,0,20,4,8,3,3,5,4,0,3,No,0
456,E1001825,42,1,5,1,3,6,1,2,3,4,40,3,3,4,2,1,14,3,24,3,1,20,8,13,9,No,2
457,E1001826,40,1,4,1,4,18,2,9,2,1,47,3,2,1,0,0,12,4,9,5,4,8,4,7,1,No,1
458,E1001827,33,1,5,1,3,13,2,28,4,2,79,3,2,3,1,1,12,2,15,3,3,15,14,5,7,No,1
459,E1001828,40,1,4,2,2,11,2,6,2,3,38,3,4,4,1,1,21,4,21,2,3,21,7,7,7,No,0
460,E1001829,24,1,2,0,3,13,2,21,2,3,57,2,1,1,0,0,14,2,2,3,3,1,1,0,0,No,2
461,E1001830,40,1,5,0,3,16,0,8,2,4,72,3,2,4,3,1,18,3,8,2,3,2,2,2,2,No,2
462,E1001831,45,1,2,0,3,6,2,1,4,1,66,3,3,2,1,0,12,1,10,4,3,10,8,7,7,No,1
463,E1001832,35,0,5,1,4,14,2,28,4,2,98,2,1,3,0,0,23,1,6,5,3,5,3,4,2,No,1
464,E1001834,36,1,5,2,4,14,2,2,4,3,70,3,1,4,3,1,21,4,7,3,2,3,2,1,2,No,0
465,E1001835,48,0,5,0,4,18,2,16,4,3,96,3,2,3,8,0,14,3,18,2,3,8,7,7,7,No,2
466,E1001838,33,1,5,1,4,18,2,8,4,1,46,3,2,1,2,0,13,4,8,6,1,2,2,2,2,No,1
467,E1001840,30,1,5,1,4,18,2,1,3,2,64,2,2,1,1,0,11,4,10,4,3,10,8,6,7,Yes,1
468,E1001841,38,1,0,1,2,9,1,10,4,3,71,3,2,3,3,0,11,3,10,2,3,6,3,1,2,No,2
469,E1001846,30,1,2,1,4,18,2,29,4,3,33,3,3,2,3,0,12,2,9,3,3,4,2,1,3,No,2
470,E1001847,35,0,5,0,3,13,2,2,3,1,69,3,1,1,1,1,12,4,1,2,3,1,0,0,0,Yes,2
471,E1001850,53,0,2,1,3,7,2,2,5,3,78,2,3,4,0,0,16,2,34,4,3,33,7,1,9,Yes,2
472,E1001851,38,1,4,1,3,7,2,2,3,3,81,3,2,2,4,0,11,1,7,2,3,5,2,1,4,Yes,2
473,E1001854,48,0,1,1,3,16,2,15,4,3,65,3,1,1,8,0,12,4,10,3,2,8,2,7,6,No,2
474,E1001855,34,1,4,2,3,15,2,7,4,1,35,3,1,4,1,0,13,3,1,4,1,1,0,0,0,No,2
475,E1001856,55,1,3,1,4,11,2,26,5,3,60,2,5,4,1,0,21,3,36,3,3,36,6,2,13,No,0
476,E1001858,34,1,5,1,3,16,2,1,4,2,45,3,2,4,9,0,17,2,9,3,2,2,2,2,1,No,1
477,E1001860,38,1,5,1,4,18,2,14,3,3,80,3,2,2,0,0,11,4,10,3,3,9,8,7,7,No,2
478,E1001863,36,0,5,2,4,18,2,1,4,2,73,3,2,3,6,0,13,1,15,5,3,1,0,0,0,No,2
479,E1001864,29,1,4,2,3,16,2,3,1,2,87,3,1,1,1,1,18,4,10,3,3,10,9,1,5,No,1
480,E1001865,35,0,4,2,3,6,2,10,4,1,51,3,2,3,3,1,16,3,10,4,3,5,2,0,4,No,2
481,E1001866,39,1,4,1,4,18,2,6,3,4,38,4,3,3,2,0,11,1,11,3,3,7,6,7,6,No,2
482,E1001868,29,1,5,0,1,10,1,2,1,1,87,3,2,4,1,0,19,4,6,0,4,6,4,1,3,No,1
483,E1001869,50,1,3,1,4,11,2,9,3,3,59,3,5,3,4,1,16,3,27,2,3,1,0,0,0,No,2
484,E1001870,23,1,2,1,1,10,2,10,3,4,45,4,1,3,2,0,16,4,4,2,3,2,2,2,2,No,2
485,E1001874,35,1,5,1,1,10,2,28,3,2,46,4,2,3,1,0,17,4,10,3,2,10,9,6,8,No,1
486,E1001875,34,1,2,1,1,10,1,10,4,4,92,2,2,3,1,0,14,2,8,3,2,8,2,7,7,No,2
487,E1001877,43,1,2,0,1,10,2,27,3,4,87,4,1,2,5,0,12,3,8,0,3,6,4,0,2,No,2
488,E1001882,28,1,4,1,1,10,2,24,3,3,51,3,1,2,1,1,17,3,1,3,3,1,1,0,0,Yes,2
489,E1001883,22,0,1,1,1,10,0,26,2,2,85,2,1,3,1,1,14,2,4,2,2,4,2,1,3,No,1
490,E1001884,50,1,4,1,1,10,1,20,5,2,41,3,4,3,2,1,15,3,32,3,3,30,8,12,13,No,1
491,E1001885,32,0,1,1,1,10,2,5,4,2,35,4,1,4,3,0,17,4,6,3,3,3,2,0,2,No,2
492,E1001886,44,0,4,0,1,10,2,7,3,2,31,3,5,4,0,1,14,4,23,4,2,22,7,1,10,No,1
493,E1001887,30,1,4,1,1,10,2,7,3,2,48,2,1,2,1,0,12,2,6,3,2,6,4,1,1,No,1
494,E1001889,45,0,4,2,1,10,2,5,5,3,50,1,2,1,1,1,14,1,10,3,3,10,7,1,4,No,2
495,E1001890,45,1,3,1,4,18,0,26,3,1,52,2,2,1,1,0,15,1,10,2,3,10,7,4,5,No,1
496,E1001891,31,1,1,2,4,18,1,2,4,4,54,3,2,1,7,0,13,4,10,3,3,5,2,0,3,No,2
497,E1001892,36,0,5,1,1,10,2,12,4,3,76,3,2,3,9,1,12,2,7,2,3,3,2,1,1,No,2
498,E1001893,34,1,5,0,1,10,1,10,4,3,42,4,2,4,1,0,13,1,9,3,3,9,7,7,2,No,2
499,E1001895,49,0,5,1,1,10,2,25,4,3,84,3,1,1,1,0,14,4,10,3,2,9,6,1,4,No,2
500,E1001897,27,1,1,0,1,10,2,19,3,4,67,2,1,1,1,0,11,1,7,3,3,7,7,0,7,No,2
501,E1001899,35,1,5,1,1,10,2,18,5,2,48,4,2,1,1,0,11,4,16,2,3,16,15,1,10,No,1
502,E1001900,28,0,4,0,1,10,2,27,3,2,39,1,2,1,0,0,21,2,6,5,2,5,3,0,0,No,2
503,E1001901,21,1,4,2,1,10,2,5,1,3,97,3,1,4,1,0,18,3,3,2,3,2,2,2,2,No,2
504,E1001902,18,0,4,2,4,14,1,3,2,2,70,3,1,4,1,1,12,3,0,2,4,0,0,0,0,Yes,2
505,E1001903,47,0,5,1,2,11,2,26,4,4,98,3,5,3,3,0,11,3,27,2,3,5,2,1,0,No,2
506,E1001905,39,1,4,0,1,10,2,3,2,3,76,2,2,3,0,0,15,4,11,3,3,10,8,0,7,No,2
507,E1001908,35,0,5,1,1,10,0,8,4,3,52,3,2,3,1,0,12,4,15,5,3,14,11,2,9,No,2
508,E1001909,37,1,5,1,1,10,2,19,3,3,85,3,2,3,3,0,17,1,9,2,2,4,3,0,2,No,2
509,E1001911,39,0,4,2,1,10,1,4,3,1,81,3,2,3,0,0,13,4,10,2,1,9,2,3,8,No,1
510,E1001916,38,0,4,1,1,10,2,2,2,4,54,2,3,3,3,1,19,4,10,6,4,5,4,0,2,No,2
511,E1001918,37,0,4,1,1,10,2,10,3,2,71,3,1,2,1,0,11,1,8,2,1,8,4,7,7,No,1
512,E1001919,40,0,5,2,1,10,2,16,3,3,84,3,3,4,6,1,15,4,18,2,2,4,2,3,3,No,2
513,E1001920,44,1,0,1,2,9,1,1,5,1,37,3,2,4,4,1,11,3,14,3,3,10,7,0,2,No,2
514,E1001923,35,1,4,0,4,18,2,15,2,1,59,1,2,4,6,1,14,4,7,2,2,2,2,2,2,Yes,1
515,E1001924,24,0,2,2,1,10,1,2,1,1,32,3,1,4,1,1,13,3,6,2,3,6,3,1,3,No,1
516,E1001925,27,0,4,1,1,10,2,8,3,2,86,4,1,3,7,0,17,1,5,0,3,3,2,0,2,No,2
517,E1001926,27,1,4,2,1,10,1,2,3,4,87,3,1,4,2,0,13,3,6,0,2,4,2,1,2,No,2
518,E1001931,25,1,5,0,1,10,1,2,1,4,77,4,2,3,1,0,17,3,7,6,3,7,7,0,7,No,2
519,E1001932,39,1,4,1,1,10,2,12,3,4,66,3,2,2,4,0,21,3,7,3,3,5,4,1,0,No,0
520,E1001933,49,0,1,1,1,10,2,22,4,1,72,3,4,2,3,0,16,2,27,2,3,4,2,1,2,No,1
521,E1001934,50,0,5,0,1,10,2,17,5,4,50,2,3,1,5,0,15,3,19,3,3,14,11,1,11,No,2
522,E1001935,20,0,4,2,4,14,2,2,3,3,31,3,1,3,1,0,19,1,2,3,3,2,2,2,2,No,2
523,E1001936,34,0,5,0,1,10,2,3,3,4,66,3,2,2,1,0,12,3,11,2,3,11,8,7,9,No,2
524,E1001937,36,1,5,2,1,10,2,7,3,1,77,3,1,2,2,0,11,3,15,4,3,4,3,1,3,No,1
525,E1001939,49,0,5,1,1,10,2,6,1,3,41,2,4,3,2,1,19,2,30,3,3,15,11,2,12,No,2
526,E1001940,36,0,4,1,1,10,0,1,4,4,33,2,2,3,0,0,15,3,4,6,3,3,2,1,2,No,2
527,E1001942,36,1,5,0,1,10,2,3,2,4,79,4,2,1,6,0,20,1,13,3,3,5,4,0,4,No,0
528,E1001943,54,0,4,1,1,10,2,22,5,2,91,3,4,3,3,0,25,3,36,6,3,10,8,4,7,No,1
529,E1001944,43,1,5,1,1,10,2,15,2,3,65,2,4,3,1,0,24,1,14,3,3,14,10,6,11,No,0
530,E1001945,35,1,1,2,4,18,1,12,4,4,36,3,2,4,3,1,24,1,13,2,4,11,9,6,7,Yes,0
531,E1001947,29,1,4,0,4,18,2,5,3,1,43,2,2,2,1,1,13,2,10,3,2,10,0,0,9,No,2
532,E1001948,33,1,4,0,4,18,2,2,4,4,93,3,2,4,1,0,14,3,6,5,3,6,2,0,4,No,2
533,E1001949,32,1,4,0,1,10,2,2,3,4,45,3,2,2,0,0,13,3,10,4,2,9,5,1,6,No,2
534,E1001951,31,0,5,1,4,18,2,5,4,1,67,3,2,4,1,0,11,1,10,2,3,10,0,0,2,No,2
535,E1001952,49,0,4,0,1,10,2,16,3,4,74,3,1,1,4,1,16,2,17,2,2,2,2,2,2,No,2
536,E1001958,20,1,5,2,4,14,2,9,1,4,54,3,1,1,1,0,11,1,2,3,3,2,2,0,2,No,2
537,E1001959,33,0,5,0,4,18,0,16,3,3,36,3,2,4,1,1,25,3,7,2,3,6,5,1,2,No,0
538,E1001960,36,1,5,1,1,10,2,26,4,1,80,3,2,3,6,0,14,2,10,2,2,3,2,0,2,No,2
539,E1001961,44,0,5,0,2,9,2,1,3,3,44,3,1,4,4,1,18,1,8,2,3,2,2,2,2,No,2
540,E1001962,23,1,4,2,1,10,2,8,1,4,93,2,1,3,1,1,11,1,5,2,3,5,4,1,2,Yes,2
541,E1001965,38,0,4,1,1,10,2,4,2,4,87,3,1,3,7,0,19,4,7,5,2,0,0,0,0,No,2
542,E1001967,53,1,4,1,1,10,2,24,4,2,48,4,3,4,3,0,15,3,11,2,3,4,3,1,2,No,1
543,E1001969,48,0,4,1,4,14,1,7,2,4,95,3,1,3,2,1,11,3,19,3,3,9,7,7,7,Yes,2
544,E1001970,32,1,5,2,1,10,2,2,4,4,95,3,1,2,1,0,12,1,1,2,3,1,0,0,0,Yes,2
545,E1001971,26,1,4,2,1,10,0,7,3,4,76,3,1,4,1,0,20,3,7,5,3,7,7,5,7,No,0
546,E1001972,55,1,2,0,1,10,2,22,3,1,94,2,1,2,5,0,12,4,8,1,3,4,2,1,2,No,1
547,E1001974,34,1,4,1,3,16,2,5,2,2,57,2,2,4,1,0,14,3,15,3,4,15,10,4,13,No,1
548,E1001975,60,1,4,0,3,6,2,1,4,3,92,1,3,4,3,0,20,3,19,2,4,1,0,0,0,No,0
549,E1001978,37,1,4,0,4,18,1,1,4,3,31,1,2,4,1,0,14,3,6,2,2,6,3,1,3,No,2
550,E1001979,34,0,5,1,3,15,2,19,3,2,35,2,1,4,1,0,12,2,10,3,3,10,9,8,7,No,1
551,E1001981,44,0,5,1,3,6,2,2,3,3,96,4,3,4,1,1,19,2,9,2,3,8,7,6,7,No,2
552,E1001984,43,1,4,1,4,18,2,2,3,4,73,3,2,4,1,1,17,1,10,3,3,10,9,8,8,No,2
553,E1001987,29,0,4,1,3,16,2,9,4,4,43,3,1,3,9,0,17,3,9,2,3,5,3,1,2,No,2
554,E1001988,36,0,5,2,4,14,2,2,4,3,51,3,2,4,3,0,15,3,17,2,2,13,7,6,7,No,2
555,E1001990,45,1,5,1,3,16,0,1,1,3,74,2,3,3,3,0,23,4,25,3,2,23,15,14,4,No,0
556,E1001996,26,1,4,1,3,13,2,17,4,4,62,1,1,3,1,0,15,3,3,3,4,3,2,0,2,No,2
557,E1001997,45,0,2,2,3,16,2,28,2,4,48,2,4,2,1,0,11,3,21,2,3,21,6,8,6,No,2
558,E1001999,31,1,5,1,3,13,2,2,4,2,69,3,1,3,1,0,14,4,6,2,4,5,2,0,3,No,2
559,E1002000,41,1,0,1,2,9,0,4,3,3,60,1,2,2,6,0,19,2,10,4,3,3,2,1,2,No,2
560,E1002002,40,0,5,1,3,7,2,8,2,2,92,3,2,1,2,1,16,2,18,3,3,1,0,0,0,No,2
561,E1002003,24,1,4,0,3,13,2,29,1,2,91,3,1,1,1,0,13,2,6,2,4,6,2,1,2,No,1
562,E1002005,46,1,5,2,3,6,2,13,4,3,34,3,2,2,6,0,14,4,19,3,3,10,7,0,9,No,2
563,E1002007,30,1,5,1,3,15,2,16,1,2,33,3,1,4,1,0,12,2,10,2,2,10,0,0,8,No,2
564,E1002009,47,1,3,1,4,18,0,2,4,3,87,3,2,2,7,0,11,4,4,3,1,1,0,0,0,No,2
565,E1002010,46,1,5,0,4,18,2,2,3,3,74,3,3,4,4,1,12,2,13,5,2,10,6,0,3,No,2
566,E1002011,36,1,3,0,4,18,2,13,5,2,96,2,2,1,5,1,13,2,16,3,3,2,2,2,2,Yes,1
567,E1002012,32,1,5,2,4,18,2,1,2,1,34,1,2,2,6,0,15,2,10,2,3,0,0,0,0,Yes,2
568,E1002014,31,0,2,2,3,7,1,24,1,4,30,3,2,4,2,0,20,4,9,3,2,5,4,1,4,No,0
569,E1002015,39,1,5,1,3,13,0,1,3,4,77,3,2,4,1,1,15,4,9,2,3,9,8,5,8,No,2
570,E1002017,32,1,5,1,4,18,2,19,3,4,80,1,3,3,3,0,13,3,10,2,1,4,3,0,2,No,2
571,E1002018,40,1,4,2,4,11,2,7,4,2,88,3,5,2,1,0,14,2,21,3,2,21,8,12,8,No,1
572,E1002022,45,0,5,1,2,9,2,4,3,3,56,1,3,3,4,0,21,3,9,2,4,5,0,0,3,No,0
573,E1002023,30,0,2,2,3,16,1,2,4,4,78,2,1,1,0,0,16,4,10,2,3,9,7,0,7,No,2
574,E1002024,24,1,4,1,2,9,1,10,3,1,59,3,1,4,0,0,14,4,3,2,3,2,2,2,1,No,1
575,E1002025,30,0,0,0,2,9,1,8,3,3,66,2,1,4,6,0,11,3,6,0,2,4,2,1,2,Yes,2
576,E1002027,31,1,2,1,4,18,2,5,3,1,51,3,2,3,1,0,19,3,6,3,3,5,2,0,2,No,0
577,E1002029,27,0,4,2,3,16,2,8,3,3,67,3,1,4,1,0,11,3,6,5,2,6,2,1,4,No,2
578,E1002030,29,0,3,2,4,14,2,9,3,2,52,1,1,2,1,0,13,3,2,3,3,2,2,2,2,Yes,1
579,E1002031,29,1,5,2,3,6,1,1,3,4,70,4,2,3,8,1,12,4,10,5,4,3,2,0,2,No,2
580,E1002032,30,1,3,0,4,18,2,15,2,3,94,2,3,1,2,0,11,1,12,2,3,7,7,1,7,No,2
581,E1002033,34,1,4,1,3,15,2,2,4,4,97,4,1,4,0,1,14,1,6,3,3,5,0,1,2,No,2
582,E1002034,33,0,3,2,4,18,0,2,3,4,62,3,2,2,8,0,15,4,13,2,2,11,7,1,7,No,2
583,E1002035,49,0,3,2,4,18,2,11,4,4,80,3,2,4,3,0,12,3,8,1,4,5,1,0,4,No,2
584,E1002036,33,0,5,2,4,18,2,16,3,1,74,3,3,1,2,1,20,3,11,2,2,0,0,0,0,Yes,0
585,E1002038,38,0,4,1,3,13,1,2,2,3,75,2,1,2,4,0,14,2,9,4,2,6,1,0,5,No,2
586,E1002042,32,1,2,2,3,15,0,5,4,2,65,3,1,2,2,0,14,2,12,3,3,7,7,0,7,No,2
587,E1002044,38,1,4,1,3,6,2,18,3,2,60,1,2,4,3,1,16,3,15,2,3,1,0,1,0,No,2
588,E1002045,43,1,2,1,3,15,1,17,3,3,38,2,1,3,9,1,16,4,6,4,3,1,0,0,0,Yes,2
589,E1002048,55,1,4,1,3,4,2,2,3,3,60,2,5,1,8,0,12,2,34,2,3,1,0,0,0,No,2
590,E1002049,33,1,2,0,3,15,0,4,3,4,90,3,2,2,5,0,15,4,11,2,2,9,8,1,7,No,2
591,E1002050,41,1,5,0,3,13,2,9,4,3,94,3,1,1,1,0,20,2,5,2,3,5,3,0,4,No,0
592,E1002052,34,1,5,0,4,18,0,10,3,4,87,3,2,3,1,1,14,3,15,3,3,15,14,0,7,No,2
593,E1002053,53,0,4,1,3,7,0,1,4,1,60,2,4,3,4,1,20,4,27,2,2,3,2,0,2,No,2
594,E1002056,43,1,5,2,2,9,2,2,3,2,97,3,1,4,0,0,13,2,10,5,3,9,7,1,8,No,1
595,E1002057,34,0,5,2,4,18,2,3,2,4,32,1,2,4,5,0,12,1,6,3,3,2,2,2,2,No,2
596,E1002058,21,1,3,2,4,14,2,7,1,2,31,3,1,2,1,0,13,2,1,3,3,1,0,1,0,Yes,2
597,E1002060,38,0,1,1,3,16,2,6,2,4,40,2,1,3,1,0,11,2,5,3,3,5,4,0,4,No,2
598,E1002061,22,0,4,1,3,16,2,8,1,3,79,3,1,1,1,1,17,3,1,6,3,1,0,0,0,Yes,2
599,E1002062,31,0,3,1,4,18,2,29,4,1,91,2,2,4,1,0,14,1,13,3,3,12,7,5,7,No,1
600,E1002067,46,1,4,0,3,4,2,2,4,3,46,3,5,4,7,1,17,3,24,3,3,2,1,2,2,No,2
601,E1002068,36,1,5,1,3,16,2,10,3,4,90,3,3,1,7,1,13,4,15,1,3,12,8,5,7,No,2
602,E1002070,44,1,4,0,3,15,1,1,2,3,99,3,1,2,1,1,12,3,6,2,2,5,3,2,3,Yes,2
603,E1002072,37,1,1,0,2,9,2,8,2,3,89,3,2,2,2,0,13,3,19,4,2,10,0,4,7,No,2
604,E1002076,33,1,5,1,3,15,2,8,4,4,90,4,1,1,6,0,19,2,14,1,3,10,8,7,6,No,2
605,E1002079,46,1,5,2,4,18,0,26,2,2,98,2,2,2,8,0,15,3,6,3,3,2,2,2,2,No,1
606,E1002080,40,0,5,1,3,13,2,2,2,3,99,3,1,1,4,0,17,4,7,5,2,4,3,0,2,No,2
607,E1002082,35,1,4,0,3,16,0,2,2,2,90,3,2,4,2,0,14,3,15,6,3,7,7,1,7,No,1
608,E1002083,38,1,0,0,2,9,0,2,3,1,100,3,1,2,5,0,13,4,13,3,3,11,10,3,8,No,1
609,E1002085,34,1,5,1,3,13,1,9,4,4,93,3,2,1,4,0,17,3,11,3,2,7,1,0,7,Yes,2
610,E1002090,39,1,5,0,4,18,1,20,3,3,83,3,2,4,2,0,18,4,7,6,3,2,1,2,2,No,2
611,E1002091,43,1,5,2,3,15,0,9,3,1,52,3,1,3,4,0,13,3,7,2,2,3,2,1,2,No,1
612,E1002092,41,1,5,2,3,6,2,5,3,2,85,4,2,2,3,0,12,1,11,3,1,3,2,1,2,No,1
613,E1002093,41,0,3,0,4,18,2,4,1,3,81,3,3,3,0,1,13,4,23,3,4,22,14,13,5,No,2
614,E1002101,34,1,2,1,4,18,2,8,2,2,92,4,2,3,1,0,21,3,10,5,3,10,8,4,8,No,1
615,E1002102,58,1,4,0,4,11,0,2,3,2,52,3,4,2,4,0,22,4,37,0,2,16,9,14,14,No,1
616,E1002104,35,1,4,1,3,13,2,23,4,2,91,1,1,3,0,0,16,2,6,2,4,5,4,0,3,No,2
617,E1002105,47,0,5,0,3,16,2,4,3,3,92,2,3,2,8,1,12,3,28,4,3,22,11,14,10,No,2
618,E1002107,40,0,5,0,3,6,2,12,3,2,47,3,2,1,2,0,12,2,15,3,3,7,4,7,7,No,1
619,E1002108,54,0,4,1,3,15,2,7,4,4,68,3,2,4,4,0,15,2,14,2,2,7,1,1,7,No,2
620,E1002111,31,0,3,1,4,18,1,7,4,1,68,3,3,1,2,0,14,4,9,3,3,3,2,2,2,No,1
621,E1002113,38,0,3,1,4,14,2,2,4,2,77,1,2,4,2,1,20,1,20,4,2,4,2,0,3,No,2
622,E1002114,26,1,4,2,4,18,2,10,3,3,46,3,2,4,1,0,13,1,5,4,3,5,3,1,2,No,2
623,E1002115,58,1,5,1,3,16,1,15,4,1,87,3,4,3,2,1,14,2,23,3,3,2,2,2,2,No,1
624,E1002117,18,0,4,2,3,16,0,14,3,2,33,3,1,3,1,0,16,3,0,4,1,0,0,0,0,No,2
625,E1002120,31,1,0,1,2,9,2,18,5,4,89,4,1,1,0,0,17,3,2,4,3,1,0,0,0,Yes,2
626,E1002123,45,0,5,1,4,18,0,2,4,3,67,3,2,3,4,0,22,2,10,3,4,8,7,5,7,No,0
627,E1002125,36,0,1,1,3,15,2,2,4,4,73,3,2,2,4,1,22,4,15,2,3,1,0,0,0,No,0
628,E1002127,43,1,5,1,4,18,1,2,4,1,92,3,2,4,1,0,20,3,7,5,3,7,7,7,7,No,1
629,E1002128,27,0,5,2,3,16,1,5,2,4,53,3,1,4,0,1,14,3,6,3,2,5,4,0,2,No,2
630,E1002130,29,1,4,1,3,13,1,20,1,4,40,3,1,4,1,0,13,2,11,3,4,11,8,3,10,No,2
631,E1002131,32,1,3,2,4,18,1,10,4,4,79,3,2,4,8,0,13,3,4,2,4,0,0,0,0,No,2
632,E1002132,42,1,2,1,3,15,0,10,4,3,38,3,1,3,3,0,22,2,10,1,2,6,3,3,3,No,0
633,E1002134,47,0,5,2,3,13,2,9,4,2,64,3,1,3,4,0,12,3,7,2,3,2,2,2,0,No,1
634,E1002135,46,1,5,0,3,7,2,2,2,4,82,3,3,4,3,0,14,3,12,4,2,9,8,4,7,No,2
635,E1002136,28,1,5,0,2,9,0,1,2,3,43,3,1,4,1,0,15,2,3,2,3,3,2,2,2,No,2
636,E1002137,29,1,5,0,3,6,2,29,1,4,93,1,2,3,8,0,17,4,11,3,3,7,0,1,6,No,2
637,E1002138,42,1,5,2,3,16,2,8,3,4,81,3,1,3,4,0,13,4,8,3,3,0,0,0,0,No,2
638,E1002140,32,1,3,2,4,18,2,2,4,3,82,2,2,2,7,1,12,3,7,3,2,2,2,2,2,Yes,2
639,E1002141,46,0,2,0,4,18,2,3,3,1,45,4,4,1,2,0,12,4,25,5,3,19,17,2,8,No,1
640,E1002142,27,0,4,1,4,14,2,23,1,2,36,2,2,3,1,0,21,4,9,5,3,9,8,5,8,No,1
641,E1002143,29,1,4,1,2,9,2,6,1,4,87,2,1,2,1,0,11,4,1,3,3,1,0,0,0,No,2
642,E1002145,48,1,5,1,3,16,2,10,3,4,91,2,5,2,4,0,12,4,29,3,3,22,10,12,9,No,2
643,E1002146,29,1,5,2,3,15,1,24,2,4,73,2,1,4,1,1,24,2,1,3,2,1,0,1,0,Yes,0
644,E1002151,55,1,2,1,3,15,2,2,4,2,98,2,1,4,8,0,20,2,19,2,4,5,2,0,4,No,2
645,E1002153,28,0,4,1,4,14,2,3,3,2,78,3,1,2,1,0,19,4,1,3,3,1,0,0,0,No,2
646,E1002154,30,1,4,2,4,14,2,9,3,2,89,3,1,4,1,0,13,3,1,3,2,1,0,0,0,Yes,2
647,E1002156,22,1,5,2,3,15,2,7,1,4,75,3,1,2,1,1,23,1,1,2,3,1,0,0,0,Yes,0
648,E1002158,36,0,2,1,4,18,2,10,4,2,63,2,2,3,1,1,13,1,10,4,3,10,9,1,7,No,1
649,E1002160,34,1,5,1,4,18,2,4,3,3,64,3,3,4,2,1,13,4,9,3,3,5,3,1,0,No,2
650,E1002161,29,1,5,2,3,13,2,7,3,4,59,3,1,1,3,0,14,2,11,2,3,3,2,1,2,No,2
651,E1002163,37,1,4,1,3,15,2,7,4,4,78,3,2,1,5,1,22,3,16,2,3,5,3,0,4,No,0
652,E1002164,35,0,1,1,3,7,2,16,2,4,44,2,2,2,0,1,11,4,4,2,3,3,2,0,2,No,2
653,E1002166,45,0,5,1,3,7,2,25,2,2,93,2,2,4,0,0,13,4,10,2,2,9,8,3,8,No,1
654,E1002168,36,1,0,2,2,9,1,2,1,2,94,2,2,4,1,0,21,4,10,2,2,10,1,0,8,No,0
655,E1002170,40,1,5,0,3,16,2,1,4,1,98,3,4,1,2,0,11,1,22,3,3,19,7,11,16,No,1
656,E1002171,26,0,5,1,3,15,2,1,2,2,90,2,1,3,1,1,13,3,1,3,2,1,0,1,0,No,2
657,E1002176,27,0,4,2,4,18,2,2,2,1,89,4,2,3,0,0,14,2,9,5,2,8,7,0,7,No,2
658,E1002178,48,0,4,0,3,11,1,22,3,4,58,3,4,4,3,0,11,2,24,3,3,22,17,4,7,No,2
659,E1002181,44,1,5,1,3,6,2,1,4,2,78,4,2,1,2,0,15,4,10,5,3,2,0,2,2,No,2
660,E1002183,34,1,2,1,3,15,0,16,4,4,85,1,1,1,1,1,23,2,5,2,3,5,2,3,0,Yes,0
661,E1002185,56,1,5,2,3,16,2,24,2,1,97,3,1,4,1,0,16,4,5,3,3,4,2,1,0,Yes,1
662,E1002186,36,1,3,1,4,18,2,17,2,3,33,2,2,2,2,0,16,3,12,1,1,4,2,1,3,No,1
663,E1002187,41,0,3,1,4,18,2,8,3,3,54,3,2,2,5,0,21,3,14,3,3,5,4,1,4,No,0
664,E1002189,42,1,4,1,3,16,2,6,3,3,83,3,3,1,9,0,13,2,18,3,4,13,7,5,7,No,2
665,E1002190,31,0,4,0,4,18,2,10,2,3,86,3,2,4,2,1,11,4,8,2,3,5,2,1,4,No,2
